Organiser,Organisation Addresses,Boroughs,Latitude,Longitude,Telephone Number,Type,Scheme Title,Website organiser,Scheme URL,Content,Business Issues,Categories,Funding Amounts,Funding Types,Permalink,Themes,Bio-technology,Business and Financial Services,Construction,Creative,Digital and IT,Health and Social Care,Hospitality,Life sciences,Medical,Retail and Wholesale,Science and Technology,Tourism and Leisure,Urban,Pre-Start ,Early Stage,Growth ,Mature,Micro,Small,Medium,Large
Venturefest,"71-75  Shelton Street, London, WC2H 9JQ",Camden,51.514897,-0.123615,Number not found,Investor/ Funding Org,Venturefest Network,http://venturefestnetwork.com,http://venturefestnetwork.com/entrepreneurs-2/,"Venturefest Network supports Venturefest events around the UK that bring together innovators (with great ideas looking for funding), investors (looking for great ideas to invest in) and entrepreneurs (putting the ideas and money together to build businesses).

Venturefest events provide a number of avenues for innovators to find the support they need:
<ul>
 	<li>The opportunity in Funding-led workshops to meet with potential investors to test your ideas or to try out your proposition to see if your audience is as convinced as you are of the value it will create.</li>
 	<li>The opportunity in How To workshop stream to learn from others who have developed their business based on innovation.</li>
 	<li>The opportunity in the Innovation Stream to hear about the innovations being developed by others, perhaps in different areas of technology that could add value to your ideas.</li>
",Business growth|Business planning|Business start up,Advice and Guidance|Financing your business|Starting your business,,Crowdfunding|Equity,https://www.growthhub.london/scheme/venturefest-network/,,,,,,x,,,,,,x,,,x,x,,,x,x,x,x
Victoria Business Improvement District (BID),"14 Buckingham Palace Rd, Westminster, London SW1W 0QP, UK",Westminster,51.497817,-0.144469,+44 20 3004 0786,BID,Victoria Business Improvement District (BID),http://www.victoriabid.co.uk/,http://www.victoriabid.co.uk/,"The Victoria Business Improvement District (BID) is a business-led and business funded body formed to support economic growth in Victoria and to create a vibrant destination for those who work, visit or live here. Details of the current initiatives funded and run by the BID are available <a href=""http://www.victoriabid.co.uk/what-we-do/"">here</a>.

",Business growth|Business planning,Advice and Guidance|Managing your business,,,https://www.growthhub.london/scheme/victoria-business-improvement-district-bid/,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Virgin Start Up Limited,"31  Lode Way Haddenham, Ely, England, CB6 3UL",East Cambridgeshire,52.350038,0.14935,Number not found,Investor/ Funding Org,"Ready,Steady,Grow with Virgin Start Up",https://www.virginstartup.org/,https://www.virginstartup.org/ready-steady-grow,"The project develops growth potential in start-up businesses in London, particularly in areas with low levels of enterprise activity and amongst underrepresented groups. It seeks to enhance the culture of entrepreneurship in London, create jobs and encourage business growth.",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Virgin StartUp,"The Battleship Bldg, 179 Harrow Rd, London W2 6NB, UK",Westminster,51.520146,-0.181691,+44 20 7313 2002,Network/ Membership Org,"Ready, Steady, Grow",https://www.virginstartup.org,https://www.virginstartup.org/ready-steady-grow,"<div class=""field field-name-field-text field-type-text-long field-label-hidden"">
<div class=""field-items"">
<div class=""field-item even"">

Ready, Steady, Grow with Virgin StartUp is a programme of activities developed to support entrepreneurs from across Greater London looking to start, fund and scale their business.

</div>
If you're based in Greater London, are looking to start a business, or have an established business and want to learn how to scale-up, you could access:
<ul>
 	<li>Regular networking events;</li>
 	<li>A place on our business and financial planning workshop;</li>
 	<li>1-1 advice sessions;</li>
 	<li>Support to access funding for your business;</li>
 	<li>1-1 mentoring; and</li>
 	<li>A place on our 2-day ""Step-Up"" workshop, designed to support entrepreneurs who wish to transition their business from start-up to scale-up.</li>
</ul>
The project is part-funded by the European Regional Development Fund.
",Business start up,Advice and Guidance|Starting your business,,,https://www.growthhub.london/scheme/ready-steady-grow/,Starting your business,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x
Virgin StartUp,"The Battleship Bldg, 179 Harrow Rd, London W2 6NB, UK",Westminster,51.520146,-0.181691,+44 20 7313 2002,Investor/ Funding Org,Start Up Loans from Virgin StartUp,http://www.virginstartup.org,http://www.virginstartup.org/start-up-loans,"Virgin StartUp provides loans of between Â£500 and Â£25,000 to start ups. Loans can be borrowed over a period of between one and five years, and there is no set up or early repayment fee. Each successful applicant will also be provided with a business mentor.
",Business start up|Raising finance,Financing your business|Mentoring|Starting your business,"Â£0 - Â£1,000|Â£1,000 - Â£25,000",Loan,https://www.growthhub.london/scheme/start-up-loans-5/,Financing your business,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x
WF Financial Solutions,"260 Ecclesall Rd S, Sheffield S11 9PS, UK",Sheffield,53.353866,-1.516352,+44 800 901 2476,Investor/ Funding Org,WF Financial Solutions Commercial Finance,https://wffinancialsolutions.co.uk/,https://wffinancialsolutions.co.uk/commercial-finance/,"Looking for a way to finance essential purchases for your business without taking a large chunk from your cash flow, a commercial finance option could be the ideal solution for your business. ",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Walking Ventures,"29 Rosaville Road, London, England, SW6 7BN",Hammersmith and Fulham,51.479835,-0.206506,Number not found,Investor/ Funding Org,Venture Capital,www.walking.vc,https://walking.vc/approach-full/,"Walking Ventures is an early stage venture firm typically investing in rounds which are £500K and $/€1m. Walking Ventures likes SAAS, platforms, marketplaces and tools, but they’re open to other (and particularly new) models.",,,,,,,,,,,x,,,,,,x,,,,x,x,x,x,x,x,
Wandsworth Chamber of Commerce,"Battersea Studios, Studio F7 &amp; F8, (Le Bureau, 80 Silverthorne Rd, London SW8 3HE, United Kingdom",Wandsworth,51.472301,-0.145908,+44 20 3289 7887,Network/ Membership Org,Wandsworth Chamber of Commerce,http://www.wandsworthchamber.org,http://www.wandsworthchamber.org/about-the-chamber.php,"Wandsworth Chamber of Commerce provides support to help local businesses grow. The chamber holds over 50 networking events annually to connect businesses with potential customers, partners and suppliers. Members can promote their business by adding their details to the chamber website, or by using editorial and advertising opportunities through the chamber's various news channels.
",Business growth|Business start up|Import and export|Sales and marketing,Advice and Guidance|Starting your business|Accessing new business,,,https://www.growthhub.london/scheme/wandsworth-chamber-of-commerce/,Managing your business|Accessing new business,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,x
Wayra,"20 Air St, Soho, London W1B 5AN, UK",Westminster,51.510761,-0.136723,Number not found,Network/ Membership Org,Wayra,https://wayra.co.uk/,https://wayra.co.uk/,"Wayra’s acceleration programme could provide funding up to $50,000. ",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
WeWork,address not found,No borough found on the website,No latitude found,No longitude found,Number not found,Accelerator/ Incubator/ Co Working Space,WeWork,https://www.wework.com/,https://www.wework.com/en-GB/l/london,"WeWork provides flexible office and shared workspace for start ups and established firms in London. It also runs events to help members connect, showcase their products/services and access support and knowledge to grow their business.",,Premises and open workspace,,,https://www.growthhub.london/scheme/wework/,Premises and open workspace,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x
Wellington Partners,"Kensington Pavilion, 96 Kensington High Street, London W8 4SG, United Kingdom",Kensington and Chelsea,51.501714,-0.192339,Number not found,Investor/ Funding Org,Wellington Partners,http://www.wellington-partners.com/welcome/,https://www.wellington-partners.com/ls/approach,"Wellington Partners Life Sciences' investment strategy spans over a wide array of company development stages. From early stage to expansion stage to maturity, Wellington Partners funds companies primarily based on their sector, technology, anticipated development timelines and growth rates.",,,,,,,,,,,x,,,x,,,x,,,,x,x,,x,x,,
Wenta,"Electric Ave, Enfield EN3 7XU, UK",Enfield,51.674545,-0.02217,Number not found,Accelerator/ Incubator/ Co Working Space,Wenta: Business centres across North London,http://www.wenta.co.uk,http://www.wenta.co.uk/offices-and-workshops,"Wenta BusinessÂ Centres Limited has a range of office space and industrial units at our business centres across North London. Wenta's business centre facilities are designed to cater for your individual requirements and offer a range of options from business incubation, virtual office and mailbox services to individual offices, workshops and industrial units.
",Workspace and premises,Premises and open workspace,,,https://www.growthhub.london/scheme/wenta-business-centres-across-north-london/,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x
Wenta,"Electric Ave, Enfield EN3 7XU, UK",Enfield,51.674545,-0.02217,Number not found,Accelerator/ Incubator/ Co Working Space,Wenta,http://www.wenta.co.uk/,http://www.wenta.co.uk/,"Wenta offers business start-up advice and guidance, business training and development opportunities, business centre premises and education programmes.",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,,
West London Business,"The Workary - Chiswick Library, 1 Dukes Ave, Chiswick W4 2AB, United Kingdom",Hounslow,51.491691,-0.261111,Number not found,Enterprise Agency,West London Business,http://www.westlondon.com,http://www.westlondon.com,"West London Business is a business leadership forum that works to ensure West London is a good place to do business. Its members range from sole traders to multi-nationals. They commit to working together to raise West Londonâ€™s global economic competitiveness, while pursuing social and environmental sustainability. Member services include providing business insight, being a voice for local businesses and offering networking opportunities.

",Business growth,Advice and Guidance,,,https://www.growthhub.london/scheme/west-london-business/,Accessing new business,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
Royal Borough of Westminster,"City of Westminster, 64 Victoria St, London SW1E 6QP",No borough found on the website,51.497552,-0.137377,Number not found,Local Authority,Connect Westminster,https://www.westminster.gov.uk/,https://www.westminster.gov.uk/connect-westminster,"This project will target an area of London which has one of the lowest percentages of affordable superfast broadband availability out of any parliamentary constituency in the UK. The project will deliver a demand-side voucher scheme to support SMEs to get connected to super and ultrafast broadband. As a result, businesses will become connected to super or ultrafast broadband.",,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Royal Borough of Westminster,"City of Westminster, 64 Victoria St, London SW1E 6QP",No borough found on the website,51.497552,-0.137377,Number not found,Local Authority,Westminster City Council,http://www.westminster.gov.uk/,http://www.westminster.gov.uk/,"The Westminster City Council offers a wealth of support to help start-ups or small businesses grow. These services include business planning and testing, pop-up shops and markets, finance advice for business and business netowroking events and mentoring.",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
Whyable Startup Acceleration,address not found,No borough found on the website,No latitude found,No longitude found,Number not found,Accelerator/ Incubator/ Co Working Space,Whyable Startup Acceleration,https://whyable.com/,https://whyable.com/startup-acceleration/,Whyable partners with purpose-driven technology companies who are on a mission to tackle and resolve major global problems by building innovative web and mobile solutions.,,,,,,,,,,,x,,,,,,x,,,,x,x,,x,x,x,
Wyelands Bank,"No.7, Hertford St, London W1J 7RH, United Kingdom",Westminster,51.505662,-0.147551,+44 345 600 0011,Accelerator/ Incubator/ Co Working Space,Wyelands Bank Recievable Finance,https://www.wyelandsbank.co.uk/business-finance/,https://www.wyelandsbank.co.uk/business-finance/,Wyelands Bank buys receivables and invoices from their customers enabling them to free up the working capital otherwise tied up in unpaid debts.,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
YSYS,"16  Great Queen Street, London, WC2B 5DG",Camden,51.516029,-0.120729,Number not found,Network/ Membership Org,YSYS,https://www.thisisysys.com/,https://www.thisisysys.com/,"YSYS (Your Startup, Your Story) is a thriving community of founders. Whether you are building the world’s next best app, or working for a fast-growing tech company, the YSYS community is the place for you.",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,
"YSYS (Your Startup, Your Story)","Bernard Weatherill House, 8 Mint Walk, Croydon, United Kingdom, CR0 1EA",Croydon,51.371477,-0.098824,Number not found,Accelerator/ Incubator/ Co Working Space,"YSYS (Your Startup, Your Story)",https://www.thisisysys.com/,https://www.thisisysys.com/,"YSYS (Your Startup, Your Story) is a start up community for founders, developers and investors who are delivering projects that make a difference. YSYS runs the following programmes:
<ul>
 	<li><strong><a href=""https://www.thisisysys.com/copy-of-talentdoor"">Founders Door</a> </strong>is a six-week pre-accelerator programme to support young people aged 18 to 24 to launch innovative start ups.</li>
 	<li><strong><a href=""https://www.thisisysys.com/copy-of-foundersdoor"">Founders Door+</a></strong> is a three-day investment-readiness programme. It is aimed at start ups who want to raise between Â£250,000 and Â£1 million.</li>
 	<li><strong><a href=""https://www.thisisysys.com/copy-of-programmes-1"">TalentDoor</a></strong> is a series of workshops and events to encourage people to consider career opportunities in fields such as engineering, investment and product management.</li>
</ul>",,Financing your business|Starting your business,,,https://www.growthhub.london/scheme/ysys-your-startup-your-story/,Starting your business|Financing your business,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,,
YTKO (GetSet),address not found,No borough found on the website,No latitude found,No longitude found,Number not found,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,x,x,x,
Yellow Stone Finance,"Unit 1, Verney House, 1B Hollywood Rd, London SW10 9HS, United Kingdom",Kensington and Chelsea,51.485061,-0.183227,(303) 449-5552,,Yellow Stone Secured and Unsececured Facilities,https://yellowstonefinance.com/business/,https://yellowstonefinance.com/business/#secured-and-unsecured-facilities,"Secured and Unsecured facilities: Refinancing or raising capital, secured against tangible assets within the company or unsecured and reliant on only the financial performance of the business.",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
Yellow Stone Finance,"Unit 1, Verney House, 1B Hollywood Rd, London SW10 9HS, United Kingdom",Kensington and Chelsea,51.485061,-0.183227,(303) 449-5552,,Yellow Stone Asset Finance,https://yellowstonefinance.com/business/,https://yellowstonefinance.com/business/#asset-finance,"Yellow Stone Asset Finance can help your business in acquiring machinery, vehicles, technology. ",,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,,
YesGrowth,"10 Greycoat Pl, Westminster, London SW1P 1SB, UK",Westminster,51.496576,-0.134824,Number not found,Investor/ Funding Org,YesGrowth Business Loans,http://www.yesgrowth.com,http://www.yesgrowth.com,"YesGrowth provides secured and unsecured business loans of up to Â£250,000 for SMEs. Repayment terms usually last two years.",Business growth|Raising finance,Financing your business,"Â£100,000 - Â£250,000|Â£25,000 - Â£100,000",Loan,https://www.growthhub.london/scheme/business-loans-4/,Financing your business,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,x,x,x,x
YourBromley,"57  Berkeley Square Lansdowne House Floor 5, 57 Berkeley Square, London, England, W1J 6ER",Westminster,51.508891,-0.144711,Number not found,BID,YourBromley,https://yourbromley.com/,https://yourbromley.com/,"YourBromley is a Business Improvement District (BID) in Bromley Town Centre. The BID promotes the town centre as a whole to help support and grow businesses within the area, and the local economy.

YourBromley also provides an online directory of local firms, as well business news and events.
",Business growth|Business planning,Managing your business,,,https://www.growthhub.london/scheme/yourbromley/,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
deK Growth Programme,"103 Borough Rd, London SE1 0AA, UK",Southwark,51.498708,-0.101772,Number not found,Public Sector,deK Business Growth Programme,https://www.deklondon.com/,https://www.deklondon.com/,"The deK Growth Programme will deliver strategic, practical and innovative support to start ups and existing firms with up to 250 employees.

For those in the process of starting a new business or in the first years of trading, the deK Growth Programme will help you establish a sound business base and move to a stage where you can grow your business.

Established firms will receive expert support to build the capacity and skills needed for sustainable business growth.

The programme will provide support in a range of areas including start-up advice, accounting and finance, marketing and promotion, staff development, creating and managing growth and international trade.

The deK Growth Programme, which is part-funded by the European Regional Development Fund, is provided by Lewisham Council, Nwes, London South Bank University and Goldsmiths University.
",Business growth|Business start up,Finding and growing your team|Mentoring|Starting your business,,,https://www.growthhub.london/scheme/dek-business-growth-programme/,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,
deliverBEST,"Kemp House, 152-160 City Road, London, United Kingdom, EC1V 2NX",Islington,51.527271,-0.089097,Number not found,Other,deliverBEST - Make your business more efficient,https://deliverbest.london/,https://deliverbest.london/,"deliverBEST helps businesses to develop solutions that make deliveries more efficient. Businesses supported by deliverBESTâ€™s online tool and business support service save time and money, reduce traffic congestion and improve local air quality.

Why not answer ten quick questions at <a href=""http://www.deliverBEST.london"">www.deliverBEST.london</a> to receive relevant suggestions that will help you:
<ul>
 	<li>Meet corporate social responsibility goals</li>
 	<li>Reduce costs and make operations more efficient</li>
 	<li>Improve air quality.</li>
</ul>
The deliverBEST team are then available to discuss your needs, provide implementation insights and measure your results.
",Business planning,Advice and Guidance|Consultancy|Managing your business,,,https://www.growthhub.london/scheme/deliverbest-make-your-business-more-efficient/,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
inStreatham BID,"New Ground Creations, Youth Innovation Floor, 3space International House, Canterbury Crescent, Brixton, London, England, SW9 7QE",Lambeth,51.46398,-0.113047,+44 20 8835 7067,BID,inStreatham BID,https://www.instreatham.com/,https://www.instreatham.com/,"inStreatham BID is a not-for-profit company created by local businesses for local businesses. The aims of the BID are to make Streatham an even better place to live, work and invest in.
",Business growth|Business planning,Advice and Guidance|Managing your business,,,https://www.growthhub.london/scheme/instreatham-bid/,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
iwoca,"247 Tottenham Court Rd, Bloomsbury, London W1T 7QX, UK",Camden,51.51828,-0.131746,+44 20 3397 3375,Investor/ Funding Org,Flexible credit for businesses from iwoca,http://www.iwoca.co.uk,http://www.iwoca.co.uk,"iwoca provides flexible credit to small businesses across the UK. Credit facilities of up to Â£120,000 are available to firms of all sizes and at all stages of their development, from start ups to established companies. To be eligible, you must have a UK-based business and operate as a sole trader, partnership or limited company.
",Raising finance,Financing your business|Starting your business,"Â£0 - Â£1,000|Â£1,000 - Â£25,000|Â£25,000 - Â£100,000",Loan,https://www.growthhub.london/scheme/flexible-credit-for-businesses-from-iwoca/,Financing your business,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
techUK,"10 St Bride St, London EC4A 4AD, UK",City of London,51.515039,-0.105187,+44 20 7331 2000,Enterprise Agency,Training for Technology Businesses,http://www.techuk.org,http://www.techuk.org/training-page,"techUK provides training and continuous professional development (CPD) for technology companies, whether or not they are members. Training can also be offered in-house at employers' premises. Courses include marketing and sales, coaching and leadership, export sales and risk management techniques.
",HR|Personal development,Finding and growing your team|Advice and Guidance|Managing your business,,,https://www.growthhub.london/scheme/technology-training/,Managing your business,x,,,,x,,,,,,x,,,,,x,x,x,x,x,x
techUK,"10 St Bride St, London EC4A 4AD, UK",City of London,51.515039,-0.105187,+44 20 7331 2000,Enterprise Agency,Business Services and Resources from techUK,http://www.techuk.org,https://www.techuk.org/services-page/business_services,"techUK provides an extensive programme of activities for its members, including business services such as advice on concept viability and innovation, and on legal and HR issues. Members can also access a range of business resources such as industry reports, newsletters and meeting space.
",Business start up|HR|Innovation and development|Legal compliance issues|Technology,Advice and Guidance|Starting your business,,,https://www.growthhub.london/scheme/business-services-and-resources/,Managing your business,x,,,,x,,,,,,x,,,,,x,x,,x,x,x
London Borough of Barking and Dagenham,"Town Hall Square, 1 Clockhouse Ave, Barking IG11 7LU",Barking and Dagenham,51.536015,0.078725,,Local Authority,London Borough of Barking & Dagenham Business Support and Advice,https://www.lbbd.gov.uk/business/,www.lbbd.gov.uk/business/business-support-and-advice/overview,"London Borough of Barking & Dagenham provides advice, support and information to start ups and established firms in the borough.

Business support

Barking & Dagenham Council lists the business support services available to start ups and small firms in the borough.
Website: www.lbbd.gov.uk/business/business-support-and-advice/overview

Libraries

Barking & Dagenham libraries are a good source of information and intelligence for start ups and small business owners.
Website: www.lbbd.gov.uk/residents/leisure-libraries-and-museums/libraries

Trading licences

The local licensing team provides information about how to apply for various trading licences.
Email: licensing@lbbd.gov.uk
Website: www.lbbd.gov.uk/business/licenses-and-permits

Business rates

London Borough of Barking & Dagenham is responsible for collecting business rates and dealing with any related queries.
Tel: (020) 8227 2934
Email: businessrates@lbbd.gov.uk
Website: www.lbbd.gov.uk/business/business-rates-and-payments

Procurement

Barking & Dagenham Council provides advice and information to help business owners bid for public sector contracts.
Tel: (020) 8227 5234
Website: www.lbbd.gov.uk/business/tenders-and-procurement

Emergency contacts

London Borough of Barking & Dagenham provides an out-of-hours service for emergencies such as:

    Collapsed or unsafe buildings or structures
    Emergency repairs to council-owned property
    Extreme weather
    Street and pavement issues such as traffic lights, streetlights, signs and blocked drains

Tel: (020) 8215 3000
Website: www.lbbd.gov.uk/residents/community-safety-and-crime/emergency-services/contact-emergency-services",Business start up|Legal compliance issues|Tenders|Workspace and premises,Advice and Guidance|Premises and open workspace|Starting your business,,,https://www.growthhub.london/scheme/london-borough-of-barking-dagenham/,Starting your business|Premises and open workspace,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
The Retailery,address not found,,No latitude found,No longitude found,Number not found,Accelerator/ Incubator/ Co Working Space,The Retailery,https://www.retailery.co.uk,https://www.retailery.co.uk,"The Retailery is a business incubator in Romford. Its lower floor provides a space dedicated to supporting restaurant start ups, while the first floor provides co-working space for office-based start ups. For more information about the variety of membership packages available from The Retailery, please click <a href=""https://www.retailery.co.uk/member-packages/"">here</a>.",Business start up|Workspace and premises,Premises and open workspace|Starting your business,,,https://www.growthhub.london/scheme/the-retailery/,,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,,
Traveltech Lab,"82 Market Pl, Romford RM1 3E",,No latitude found,No longitude found,0044 20 3111 9887,Network/ Membership Org,Traveltech Lab,http://thetrampery.com/programmes/traveltech-lab-membership-programme/,http://thetrampery.com/programmes/traveltech-lab-membership-programme/,"The Traveltech Lab encourages innovation, creativity and collaboration between tech start ups and big corporates in the travel industry. The Traveltech Lab provides a tailored events programme, introductions and organised pitch opportunities for the travel, tourism and hospitality industry.
",Business growth|Business start up,Starting your business,,,https://www.growthhub.london/scheme/traveltech-lab/,,,,,,x,,x,,,,,x,,x,x,,,x,x,,
MedTech Directory,address not found,,No latitude found,No longitude found,telephone number not found,Other,MedTech Directory,https://www.growthhub.london/medtechdirectory/,https://www.growthhub.london/medtechdirectory/,"The <a href=""https://www.growthhub.london/wp-content/uploads/2018/09/MedTech-London-Directory-Review-2018-3rd-editon.pdf"" target=""_blank"" rel=""nofollow noopener"">MedTech London Review and Directory</a>Â reviews current trends across the MedTech sector and provides a database of MedTech firms in London, outlining who is involved, where they are and what they do.

It is kept up to date on a regular basis, keeping pace with the growth and strengthening of this exciting sector in London.

Please contact Clare Ansett if you would like to be added to this directory or have any updates (clare.ansett@sehta.co.uk).

MedTech London is a collaboration between the Greater London Authority (GLA), the South East Health Technologies Alliance (SEHTA) and MedCity.

<em>Online directory updated on 3 September 2018.</em>
",,Advice and Guidance,,,https://www.growthhub.london/scheme/medtech-directory/,,,,,,,,,,x,,x,,,x,x,x,x,x,x,x,x
Cleaner Heat Cashback,address not found,,No latitude found,No longitude found,telephone number not found,Public Sector,Cleaner Heat Cashback,https://www.london.gov.uk/what-we-do/business-and-economy/cleaner-heat-cashback,https://www.london.gov.uk/what-we-do/business-and-economy/cleaner-heat-cashback,"Cleaner Heat Cashback is Mayor Sadiq Khanâ€™s Â£10 million scheme to help Londonâ€™s small and medium-sized enterprises (SMEs) save money on their energy bills and improve the capitalâ€™s air quality.

If youâ€™re a small business in London and have an older, inefficient heating system you may be eligible for <strong>30 to 40 per cent cashback </strong>when you replace it with a new, cleaner system.

For eligibility criteria, please click <a href=""https://www.london.gov.uk/what-we-do/business-and-economy/cleaner-heat-cashback"">here</a>.

&nbsp;
<div style=""width: 100%; height: 100%; border: 2px solid #cccccc; text-align: left; padding: 5px 10px 5px 10px;"">

<span style=""text-decoration: underline;""><strong>Growth Hub Guide: How to Apply for a Business Grant</strong></span>

Grants are available to help people start up in business or to help existing firms fund specific projects. This guide explains how grants operate and the types of grants that are available. It also provides information about where to find grants and how to apply for them.

<a href=""https://leap.cobwebinfo.com/uE4wVl9-aHNwd3ruUhLwycIbRVrLZ1hIcZonR1z9d4g""><strong>Read now</strong></a>

</div>",,Financing your business|Premises and open workspace,,,https://www.growthhub.london/scheme/cleaner-heat-cashback/,,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,x,x,x,x,
Creative Works,"7 Blackhorse Ln, Walthamstow, London E17 6DS",Waltham Forest,No latitude found,No longitude found,00 44 20 7735 4316,Accelerator/ Incubator/ Co Working Space,Workspace from Creative Works,http://www.creativeworks.space/,http://www.creativeworks.space/,"Creative Works offers workspace to help businesses grow and expand their horizons. Flexible terms and tailored packages are available, and start ups and small businesses can access co-working space, offices, drop-in space and work bays.
",,Premises and open workspace,,,https://www.growthhub.london/scheme/workspace-from-creative-works/,,,,,x,,,,,,,,,,x,x,x,,x,x,,
Creative Works,"7 Blackhorse Ln, Walthamstow, London E17 6DS",Waltham Forest,No latitude found,No longitude found,00 44 20 7735 4316,Accelerator/ Incubator/ Co Working Space,Talent Incubator from Creative Works,http://www.creativeworks.space,http://www.creativeworks.space/talent-incubator/,"Talent Incubator is a free programme of support for start up and early-stage creative businesses who have an innovative business idea ready to launch.

Successful applicants will receive dedicated desk space, access to cutting edge media and tech equipment, digital training, masterclasses, one-to-one mentoring and business support. Participants will also have the chance to meet and pitch to funders, as well as test their product.

Please contact <a href=""mailto:talent@creativeworks.space"">talent@creativeworks.space</a> to apply.
",,Premises and open workspace|Starting your business,,,https://www.growthhub.london/scheme/talent-incubator-from-creative-works/,,,,,x,,,,,,,,,,x,x,,,x,,,
Creative Works,"7 Blackhorse Ln, Walthamstow, London E17 6DS",Waltham Forest,No latitude found,No longitude found,00 44 20 7735 4316,Accelerator/ Incubator/ Co Working Space,Support to take on an apprentice,http://www.creativeworks.space,http://www.creativeworks.space/hire-an-apprentice/,"Creative Works supports the Big Creative Education apprenticeship programme, which provides hardworking apprentices to media and music companies across London. Creative Works is offering a free desk to tenants that take on a creative apprentice.

",,Finding and growing your team,,,https://www.growthhub.london/scheme/support-to-take-on-an-apprentice/,,,,,x,,,,,,,,,,,x,x,,x,x,x,
PopUp Business School,"Suite 9 Market House, 21 Market Place, Wokingham, England, RG40 1AP",,No latitude found,No longitude found,telephone number not found,Education Institution,PopUp Business School Live Events,https://www.popupbusinessschool.co.uk/,https://www.popupbusinessschool.co.uk/events.html,"PopUp Business School runs inspirational training courses to help people start small businesses and make money doing what they love. Their approach is the polar opposite of traditional approaches to starting a business. They'll show you how to start without spending any money, make a great website for free and figure out how to get you to your first sale and beyond.",,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,,
PopUp Business School,"Suite 9 Market House, 21 Market Place, Wokingham, England, RG40 1AP",,No latitude found,No longitude found,telephone number not found,Education Institution,PopUp Business School Online Course,https://www.popupbusinessschool.co.uk/,https://www.popupbusinessschool.co.uk/step-by-step.html,The Step-By-Step Start-Up Guide  on How to start a business online and offline and make money without spending anything.,,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,,,x,x,,
King's College London,"Suite 9 Market House, 21 Market Place, Wokingham, England, RG40 1AP",,No latitude found,No longitude found,00 44 20 7836 5454,Education Institution,KCl  Kings20Accelerator,https://www.kcl.ac.uk/,https://www.kcl.ac.uk/entrepreneurship/kings20,"King's20 is a year-long Accelerator programme aimed at supporting the 20 brightest ventures from King's to reach their potential. Ventures can be at any stage of their development and the accelerator is open to all King's students, staff and alumni.  ",,,,,,,,,,x,x,x,x,x,x,x,x,x,x,x,x,x,,x,x,,
Royal College of Art,"Kensington Gore, South Kensington, London SW7 2EU",Westminster,No latitude found,No longitude found,00 44 20 7590 4444,Education Institution,InnovationRCA accelerator,https://www.rca.ac.uk,https://www.rca.ac.uk/research-innovation/innovationrca/,"InnovationRCA is the Royal College of Art’s centre for enterprise, entrepreneurship, incubation and business support.
Helping students and graduates transform compelling ideas into successful businesses, 
their mission is to strengthen the culture of design innovation and entrepreneurialism at the Royal College of Art.",,,,,,,,,,x,x,,,,,,x,,,x,x,,,x,,,
